City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,orchard mesa,39.043,-108.5523,-5.53,39,100,5.14,US,1737390940
1,guangyuan,32.442,105.823,8.21,81,49,0.79,CN,1737390941
2,san antonio de pale,-1.4014,5.6325,26.36,82,89,5.36,GQ,1737390942
3,horqueta,-23.3428,-57.0597,33.74,41,99,1.96,PY,1737390943
4,bredasdorp,-34.5322,20.0403,20.26,55,67,5.5,ZA,1737390944
5,ambon,-3.6954,128.1814,28.26,95,40,0.51,ID,1737390945
6,cockburn town,21.4612,-71.1419,26.98,83,40,6.17,TC,1737390947
7,kutum,14.2,24.6667,23.95,17,29,4.25,SD,1737390948
8,east london,-33.0153,27.9116,23.52,83,40,4.63,ZA,1737390949
9,yellowknife,62.456,-114.3525,-19.77,92,75,6.71,CA,1737390950
10,port mathurin,-19.6833,63.4167,26.52,77,52,9.15,MU,1737390951
11,ciudad lazaro cardenas,17.9583,-102.2,27.73,62,95,1.42,MX,1737390953
12,waitangi,-43.9535,-176.5597,12.68,92,86,0.45,NZ,1737390954
13,vila franca do campo,37.7167,-25.4333,14.23,86,84,8.87,PT,1737390956
14,wolfen,51.6667,12.2833,2.34,70,91,2.98,DE,1737390957
15,blackmans bay,-43.0167,147.3167,14.85,88,1,1.11,AU,1737390958
16,mutuali,-14.8706,37.0044,22.47,92,100,1.39,MZ,1737390959
17,tiksi,71.6872,128.8694,-26.69,98,100,1.74,RU,1737390960
18,durazno,-33.4131,-56.5006,23.97,69,40,5.66,UY,1737390859
19,iqaluit,63.7506,-68.5145,-13.15,72,75,2.06,CA,1737390820
20,adamstown,-25.066,-130.1015,24.17,78,25,5.6,PN,1737390963
21,sisimiut,66.9395,-53.6735,-2.24,86,100,7.67,GL,1737390964
22,jijiga,9.35,42.8,17.57,36,59,4.2,ET,1737390966
23,lebu,-37.6167,-73.65,17.89,65,100,4.07,CL,1737390967
24,minas de marcona,-15.2119,-75.1103,22.3,56,78,6.43,PE,1737390968
25,remire-montjoly,4.9167,-52.2667,27.02,89,75,4.12,GF,1737390969
26,aasiaat,68.7098,-52.8699,0.23,66,100,11.5,GL,1737390970
27,port-aux-francais,-49.35,70.2167,5.82,78,45,13.29,TF,1737390971
28,hammerfest,70.6634,23.6821,-5.75,63,75,4.12,NO,1737390972
29,hollymead,38.1171,-78.4417,-1.9,47,0,3.09,US,1737390973
30,bethel,41.3712,-73.414,-4.43,57,0,4.12,US,1737390974
31,at taj,24.2049,23.2857,23.17,15,100,2.83,LY,1737390975
32,papatowai,-46.5619,169.4708,12.62,78,100,1.31,NZ,1737390977
